# x_m,y_m,w_tr_right_m,w_tr_left_m
6.0935,-17.4708,1.7000,1.7000
6.0435,-17.4208,1.7464,1.7464
6.0435,-17.3708,1.7357,1.7357
6.0435,-17.3208,1.7263,1.7263
6.0435,-17.2708,1.7183,1.7183
6.0435,-17.2208,1.7117,1.7117
6.0435,-17.1708,1.7066,1.7066
6.0435,-17.1208,1.7029,1.7029
6.0435,-17.0708,1.7007,1.7007
6.0435,-17.0208,1.7000,1.7000
6.0435,-16.9708,1.7000,1.7000
6.0435,-16.9208,1.7000,1.7000
6.0435,-16.8708,1.7000,1.7000
5.9935,-16.8208,1.7500,1.7500
5.9935,-16.7708,1.7500,1.7500
5.9935,-16.7208,1.7500,1.7500
5.9935,-16.6708,1.7500,1.7500
5.9935,-16.6208,1.7500,1.7500
5.9935,-16.5708,1.7500,1.7500
5.9935,-16.5208,1.7500,1.7500
5.9935,-16.4708,1.7500,1.7500
5.9935,-16.4208,1.7500,1.7500
5.9935,-16.3708,1.7500,1.7500
5.9935,-16.3208,1.7500,1.7500
5.9435,-16.2708,1.8000,1.8000
5.9435,-16.2208,1.8000,1.8000
5.9435,-16.1708,1.8000,1.8000
5.9435,-16.1208,1.8000,1.8000
5.9435,-16.0708,1.8000,1.8000
5.9435,-16.0208,1.8007,1.8007
5.9435,-15.9708,1.8028,1.8028
5.9435,-15.9208,1.8062,1.8062
5.9435,-15.8708,1.8111,1.8111
5.9435,-15.8208,1.8173,1.8173
5.9435,-15.7708,1.8248,1.8248
5.9435,-15.7208,1.8337,1.8337
5.9435,-15.6708,1.8439,1.8439
5.8935,-15.6208,1.9026,1.9026
5.8935,-15.5708,1.9059,1.9059
5.8935,-15.5208,1.9105,1.9105
5.8935,-15.4708,1.9164,1.9164
5.8935,-15.4208,1.9235,1.9235
5.8935,-15.3708,1.9320,1.9320
5.8935,-15.3208,1.9416,1.9416
5.8935,-15.2708,1.9526,1.9526
5.8935,-15.2208,1.9647,1.9647
5.8935,-15.1708,1.9729,1.9729
5.8935,-15.1208,1.9812,1.9812
5.8935,-15.0708,1.9906,1.9906
5.8935,-15.0208,2.0000,2.0000
5.8935,-14.9708,2.0000,2.0000
5.8935,-14.9208,2.0000,2.0000
5.8435,-14.8708,1.9500,1.9500
5.8435,-14.8208,1.9500,1.9500
5.8435,-14.7708,1.9500,1.9500
5.8435,-14.7208,1.9500,1.9500
5.8435,-14.6708,1.9500,1.9500
5.8435,-14.6208,1.9416,1.9416
5.8435,-14.5708,1.9320,1.9320
5.8435,-14.5208,1.9235,1.9235
5.8435,-14.4708,1.9164,1.9164
5.8435,-14.4208,1.9105,1.9105
5.8435,-14.3708,1.9059,1.9059
5.8435,-14.3208,1.9026,1.9026
5.8435,-14.2708,1.9007,1.9007
5.8435,-14.2208,1.9000,1.9000
5.8435,-14.1708,1.9000,1.9000
5.8435,-14.1208,1.9000,1.9000
5.8435,-14.0708,1.9000,1.9000
5.8435,-14.0208,1.9000,1.9000
5.8435,-13.9708,1.9000,1.9000
5.8435,-13.9208,1.9000,1.9000
5.8935,-13.8708,1.9500,1.9500
5.8935,-13.8208,1.9500,1.9500
5.9435,-13.7708,2.0000,2.0000
5.9435,-13.7208,2.0000,2.0000
5.9435,-13.6708,2.0000,2.0000
5.9435,-13.6208,2.0000,2.0000
5.9935,-13.5708,2.0500,2.0500
6.0435,-13.5208,2.1000,2.1000
6.0435,-13.4708,2.1000,2.1000
6.0435,-13.4208,2.1000,2.1000
6.0935,-13.3708,2.1500,2.1500
6.1435,-13.3208,2.1983,2.1983
6.1435,-13.2708,2.2023,2.2023
6.1935,-13.2208,2.1829,2.1829
6.1935,-13.1708,2.2006,2.2006
6.2435,-13.1208,2.1731,2.1731
6.2435,-13.0708,2.1932,2.1932
6.2935,-13.0208,2.1662,2.1662
6.2935,-12.9708,2.1829,2.1829
6.3435,-12.9208,2.1541,2.1541
6.3435,-12.8708,2.1731,2.1731
6.3935,-12.8208,2.1477,2.1477
6.3935,-12.7708,2.1662,2.1662
6.4435,-12.7208,2.1360,2.1360
6.4435,-12.6708,2.1541,2.1541
6.4435,-12.6208,2.1731,2.1731
6.4935,-12.5708,2.1477,2.1477
6.4935,-12.5208,2.1691,2.1691
6.5435,-12.4708,2.1471,2.1471
6.5435,-12.4208,2.1691,2.1691
6.5435,-12.3708,2.1915,2.1915
6.5935,-12.3208,2.1662,2.1662
6.5935,-12.2708,2.1829,2.1829
6.6435,-12.2208,2.1541,2.1541
6.6435,-12.1708,2.1731,2.1731
6.6935,-12.1208,2.1477,2.1477
6.6935,-12.0708,2.1691,2.1691
6.7435,-12.0208,2.1471,2.1471
6.7435,-11.9708,2.1691,2.1691
6.7935,-11.9208,2.1471,2.1471
6.7935,-11.8708,2.1691,2.1691
6.7935,-11.8208,2.1691,2.1691
6.8435,-11.7708,2.1691,2.1691
6.8435,-11.7208,2.1691,2.1691
6.8935,-11.6708,2.1691,2.1691
6.8935,-11.6208,2.1691,2.1691
6.9435,-11.5708,2.1708,2.1708
6.9435,-11.5208,2.1691,2.1691
6.9935,-11.4708,2.1783,2.1783
6.9935,-11.4208,2.1691,2.1691
6.9935,-11.3708,2.1471,2.1471
7.0435,-11.3208,2.1691,2.1691
7.0935,-11.2708,2.1915,2.1915
7.0935,-11.2208,2.1691,2.1691
7.1435,-11.1708,2.1932,2.1932
7.1435,-11.1208,2.1731,2.1731
7.1935,-11.0708,2.2006,2.2006
7.2435,-11.0208,2.2051,2.2051
7.2435,-10.9708,2.2136,2.2136
7.2935,-10.9208,2.2204,2.2204
7.3435,-10.8708,2.2051,2.2051
7.3435,-10.8208,2.2209,2.2209
7.3935,-10.7708,2.2204,2.2204
7.4435,-10.7208,2.2102,2.2102
7.4935,-10.6708,2.2023,2.2023
7.4935,-10.6208,2.2204,2.2204
7.5435,-10.5708,2.2204,2.2204
7.5935,-10.5208,2.2102,2.2102
7.6435,-10.4708,2.2023,2.2023
7.6435,-10.4208,2.2102,2.2102
7.6935,-10.3708,2.2204,2.2204
7.7435,-10.3208,2.2204,2.2204
7.7935,-10.2708,2.2102,2.2102
7.8435,-10.2208,2.2023,2.2023
7.8435,-10.1708,2.2102,2.2102
7.8935,-10.1208,2.2204,2.2204
7.9435,-10.0708,2.2277,2.2277
7.9935,-10.0208,2.2204,2.2204
7.9935,-9.9708,2.2023,2.2023
8.0435,-9.9208,2.2102,2.2102
8.0935,-9.8708,2.2204,2.2204
8.1435,-9.8208,2.2299,2.2299
8.1435,-9.7708,2.2023,2.2023
8.1935,-9.7208,2.2102,2.2102
8.2435,-9.6708,2.2204,2.2204
8.2935,-9.6208,2.2327,2.2327
8.3435,-9.5708,2.2472,2.2472
8.3435,-9.5208,2.2204,2.2204
8.3935,-9.4708,2.2327,2.2327
